"","MeasureTypeDescription","MeasureClassDescription","MeasureClassDetailDescription","MeasureDescription","AuditMeasureUserSuppliedDescription"
"1","Energy Efficiency Measure","Lighting","Controls","Other","Automatic controls to turn off egress lighting in Gym when main lighting is on"
"2","Energy Efficiency Measure","Lighting","Controls","Install occupancy sensors and dimmers.",""
"3","Energy Efficiency Measure","Lighting","Controls","Other","Interlock Gym egress lighting to be off when main lighting is on"
"4","Energy Efficiency Measure","Lighting","Fixture Modification","Other","Replace Metal Halide fixtures in Cafeteria and Gymnasium with HP T8 fixtures (ARRA)"
"5","Energy Efficiency Measure","Heating","Boiler Equipment","Install a higher efficiency boiler.",""
"6","Energy Efficiency Measure","Lighting","Lamp Modification","Other","(ARRA - App.#19) Gym lighting retrofit. Split between elementary and jr. high"
"7","Energy Efficiency Measure","Lighting","Lamp Modification","Install efficient ballasts with T8 or T5 lamps.",""
"8","Energy Efficiency Measure","Lighting","Fixture Modification","Other","(ARRA - App.#19) - Gym lighting retrofit of MH. Split between elementary and jr. high"
"9","Energy Efficiency Measure","Heating","Boiler Equipment","Install modulating burner controls or controls with 10:1 (or better) turn-down  ratio.",""
"10","Energy Efficiency Measure","Lighting","Lamp Modification","Replace incandescent with compact fluorescent lamps (CFL).",""
"11","Energy Efficiency Measure","Heating","Distribution System","Replace/ repair steam traps.",""
"12","Energy Efficiency Measure","Lighting","Fixture Modification","Other","Upgrade Exterior area lighting to LED"
"13","Energy Efficiency Measure","Lighting","Fixture Modification","Reconfigure and reduce the number of light fixtures.",""
"14","Energy Efficiency Measure","Lighting","Fixture Modification","Other","Replace Gym MH fixtures and Stage Incandescents with HP T8 fixtures (ARRA)"
"15","Energy Efficiency Measure","Lighting","Fixture Modification","Other","Replace Gym and Cafeteria MH fixtues with HP T8 fixtures (ARRA)"
"16","Energy Efficiency Measure","Heating","Distribution System","Other","Install Variable Frequency Drives on Hot Water Pump Motors"
"17","Energy Efficiency Measure","Lighting","Fixture Modification","Other","Replace Gym MH and Stage incandescent fixtures with HP T8 fixtures (ARRA)"
"18","Energy Efficiency Measure","Cooling","Chiller/AC Equipment","Other","Replace the existing 250 ton water-cooled chiller with a 150 ton air-cooled chiller."
"19","Energy Efficiency Measure","Lighting","Fixture Modification","Other","Replace exterior incan with CFL fixtures (ba2)"
"20","Energy Efficiency Measure","Lighting","Lamp Modification","Other","Replace incandescent fixtures with linear fluorescent and compact fluorescent fixtures."
"21","Energy Efficiency Measure","Lighting","Controls","Other","Install Occupancy Sensors in Classrooms, Workrooms and Fitness Gymnasium"
"22","Energy Efficiency Measure","Lighting","Lamp Modification","Retrofit/replace exit signs with LED exit signs.",""
"23","Energy Efficiency Measure","Lighting","Fixture Modification","Other","Upgrade exterior incandescent lighting to CFLs"
"24","Energy Efficiency Measure","Building Envelope","Insulation","Insulate ceiling (batt/blow).",""
"25","Energy Efficiency Measure","Heating","Boiler Equipment","Other","Replace steam boilers with condensing hot water boilers."
"26","Energy Efficiency Measure","Lighting","Controls","Install daylighting controls (using on/off not dimming)",""
"27","Energy Efficiency Measure","Heating","Boiler Equipment","Other","Install Condending Boilers"
"28","Energy Efficiency Measure","Lighting","Fixture Modification","Other","Update lighting fixtures"
"29","Energy Efficiency Measure","Lighting","Controls","Other","Install Occupancy Sensors in Original Classrooms, Office Conference Room, Office Work Room, Library Production, & West Gym"
"30","Energy Efficiency Measure","Lighting","Fixture Modification","Other","Replace incandescent fixtures w/ linear fluorescent, exit signs to LED exit signs"
"31","Energy Efficiency Measure","Lighting","Controls","Other","Install occupancy sensors"
"32","Energy Efficiency Measure","Ventilation/ Distribution","Controls","Other","Retro-Commissioning"
"33","Energy Efficiency Measure","Building Envelope","Windows","Replace single pane windows with new double pane, low-e, argon-filled windows",""
"34","Energy Efficiency Measure","Heating","Distribution System","Insulate piping and auxiliary equipment.",""
"35","Energy Efficiency Measure","Lighting","Fixture Modification","Replace exterior incandescent lamps with more efficient types such as HPS or MH.",""
"36","Energy Efficiency Measure","Ventilation/ Distribution","Other","Other","Replace 8 low efficiency heat pump roof top units with high efficiency heat pump units"
"37","Energy Efficiency Measure","Lighting","Fixture Modification","Other","Replace Gym MH fixtures with HP T8 fixtures (ARRA)"
"38","Operation & Maintenance Measure","Heating","Maintenance","Repair or replace broken or missing insulation on pipes.",""
"39","Energy Efficiency Measure","Lighting","Lamp Modification","Total lighting retrofit including T12 to T8 conversion, incandescent to CFL, and other modifications",""
"40","Energy Efficiency Measure","Lighting","Controls","Install local switches.",""
"41","Energy Efficiency Measure","Heating","Boiler Equipment","Other","Replace atmospheric steam boiler to full condensing hot water boiler"
