SCHLINSTID,SCHLYR,CNTYGEOGAREAID,DISTINSTID,STUDENRCNT,DISTSTUDENRCNT,CntyStudEnrCnt,FREELNCHCNT,DISTFREELNCHCNT,CntyFreeLnchCnt,REDLNCHCNT,DISTREDLNCHCNT,CntyRedLnchCnt,TOTELGBLAMT,DISTTOTELGBLAMT,CntyTotElgblAmt,FREEREDLNCHPCT,DISTFREEREDLNCHPCT,CntyFreeRedLnchPct,CNTYNM,DISTNM,SCHLNM,last column
253,"7/1/1998",9,1976,431,12363,12363,135,2557,2557,60,1081,1081,195,3638,3638,45.24,29.43,29.43,"DESCHUTES","Bend-LaPine Administrative SD 1","LAPINE HIGH SCHOOL",-
306,"7/1/1997",10,2000,268,542,542,,97,97,,41,41,0,138,138,0,25.46,25.46,"DOUGLAS","Glendale SD 77","GLENDALE ELEM SCHOOL",-
306,"7/1/1998",10,2000,273,537,537,188,331,331,45,83,83,233,414,414,85.35,77.09,77.09,"DOUGLAS","Glendale SD 77","GLENDALE ELEM SCHOOL",-
307,"7/1/1997",10,2000,274,542,542,97,97,97,41,41,41,138,138,138,50.36,25.46,25.46,"DOUGLAS","Glendale SD 77","GLENDALE HIGH SCHOOL",-
307,"7/1/1998",10,2000,264,537,537,143,331,331,38,83,83,181,414,414,68.56,77.09,77.09,"DOUGLAS","Glendale SD 77","GLENDALE HIGH SCHOOL",-
361,"7/1/1997",14,2024,406,3722,3722,,1088,1088,,171,171,0,1259,1259,0,33.83,33.83,"HOOD RIVER","Hood River County SD","HOOD RIVER MIDDLE SCHOOL",-
361,"7/1/1998",14,2024,433,3788,3788,143,1298,1298,31,291,291,174,1589,1589,40.18,41.95,41.95,"HOOD RIVER","Hood River County SD","HOOD RIVER MIDDLE SCHOOL",-
362,"7/1/1997",14,2024,389,3722,3722,176,1088,1088,22,171,171,198,1259,1259,50.9,33.83,33.83,"HOOD RIVER","Hood River County SD","MAY STREET ELEM SCHOOL",-
362,"7/1/1998",14,2024,396,3788,3788,164,1298,1298,34,291,291,198,1589,1589,50,41.95,41.95,"HOOD RIVER","Hood River County SD","MAY STREET ELEM SCHOOL",-
363,"7/1/1997",14,2024,418,3722,3722,162,1088,1088,44,171,171,206,1259,1259,49.28,33.83,33.83,"HOOD RIVER","Hood River County SD","MID VALLEY ELEM SCHOOL",-
363,"7/1/1998",14,2024,416,3788,3788,164,1298,1298,55,291,291,219,1589,1589,52.64,41.95,41.95,"HOOD RIVER","Hood River County SD","MID VALLEY ELEM SCHOOL",-
364,"7/1/1997",14,2024,304,3722,3722,142,1088,1088,19,171,171,161,1259,1259,52.96,33.83,33.83,"HOOD RIVER","Hood River County SD","PARKDALE ELEM SCHOOL",-
364,"7/1/1998",14,2024,311,3788,3788,134,1298,1298,29,291,291,163,1589,1589,52.41,41.95,41.95,"HOOD RIVER","Hood River County SD","PARKDALE ELEM SCHOOL",-
365,"7/1/1997",14,2024,135,3722,3722,93,1088,1088,10,171,171,103,1259,1259,76.3,33.83,33.83,"HOOD RIVER","Hood River County SD","PINE GROVE ELEM SCHOOL",-
365,"7/1/1998",14,2024,132,3788,3788,94,1298,1298,7,291,291,101,1589,1589,76.52,41.95,41.95,"HOOD RIVER","Hood River County SD","PINE GROVE ELEM SCHOOL",-
366,"7/1/1997",14,2024,426,3722,3722,122,1088,1088,23,171,171,145,1259,1259,34.04,33.83,33.83,"HOOD RIVER","Hood River County SD","WESTSIDE ELEM SCHOOL",-
366,"7/1/1998",14,2024,422,3788,3788,130,1298,1298,28,291,291,158,1589,1589,37.44,41.95,41.95,"HOOD RIVER","Hood River County SD","WESTSIDE ELEM SCHOOL",-
367,"7/1/1997",14,2024,389,3722,3722,166,1088,1088,24,171,171,190,1259,1259,48.84,33.83,33.83,"HOOD RIVER","Hood River County SD","WY'EAST MIDDLE SCHOOL",-
367,"7/1/1998",14,2024,384,3788,3788,176,1298,1298,33,291,291,209,1589,1589,54.43,41.95,41.95,"HOOD RIVER","Hood River County SD","WY'EAST MIDDLE SCHOOL",-
369,"7/1/1997",14,2024,1034,3722,3722,227,1088,1088,29,171,171,256,1259,1259,24.76,33.83,33.83,"HOOD RIVER","Hood River County SD","HOOD RIVER VALLEY HIGH SC",-
369,"7/1/1998",14,2024,1069,3788,3788,258,1298,1298,52,291,291,310,1589,1589,29,41.95,41.95,"HOOD RIVER","Hood River County SD","HOOD RIVER VALLEY HIGH SC",-
489,"7/1/1997",19,2059,51,1114,1114,,,,,,,0,,,0,,,"LAKE","Lake County SD 7","UNION ELEMENTARY",-
489,"7/1/1998",19,2059,53,1039,1039,31,344,344,7,96,96,38,440,440,71.7,42.35,42.35,"LAKE","Lake County SD 7","UNION ELEMENTARY",-
490,"7/1/1997",19,2059,432,1114,1114,,,,,,,0,,,0,,,"LAKE","Lake County SD 7","FREMONT/HAY ELEM SCHOOL",-
490,"7/1/1998",19,2059,385,1039,1039,121,344,344,35,96,96,156,440,440,40.52,42.35,42.35,"LAKE","Lake County SD 7","FREMONT/HAY ELEM SCHOOL",-
491,"7/1/1997",19,2059,278,1114,1114,,,,,,,0,,,0,,,"LAKE","Lake County SD 7","DALY MIDDLE SCHOOL",-
491,"7/1/1998",19,2059,246,1039,1039,70,344,344,15,96,96,85,440,440,34.55,42.35,42.35,"LAKE","Lake County SD 7","DALY MIDDLE SCHOOL",-
492,"7/1/1997",19,2059,353,1114,1114,,,,,,,0,,,0,,,"LAKE","Lake County SD 7","LAKEVIEW HIGH SCHOOL",-
492,"7/1/1998",19,2059,355,1039,1039,122,344,344,39,96,96,161,440,440,45.35,42.35,42.35,"LAKE","Lake County SD 7","LAKEVIEW HIGH SCHOOL",-
503,"7/1/1997",20,2082,176,18832,18832,53,3469,3469,11,779,779,64,4248,4248,36.36,22.56,22.56,"LANE","Eugene SD 4J","ADAMS ELEM SCHOOL",-
503,"7/1/1998",20,2082,162,18636,18636,51,3264,3264,10,719,719,61,3983,3983,37.65,21.37,21.37,"LANE","Eugene SD 4J","ADAMS ELEM SCHOOL",-
504,"7/1/1997",20,2082,355,18832,18832,76,3469,3469,29,779,779,105,4248,4248,29.58,22.56,22.56,"LANE","Eugene SD 4J","AWBREY PARK ELEM SCHOOL",-
504,"7/1/1998",20,2082,342,18636,18636,68,3264,3264,31,719,719,99,3983,3983,28.95,21.37,21.37,"LANE","Eugene SD 4J","AWBREY PARK ELEM SCHOOL",-
505,"7/1/1997",20,2082,263,18832,18832,98,3469,3469,18,779,779,116,4248,4248,44.11,22.56,22.56,"LANE","Eugene SD 4J","Bailey Hill Elem School",-
505,"7/1/1998",20,2082,233,18636,18636,90,3264,3264,18,719,719,108,3983,3983,46.35,21.37,21.37,"LANE","Eugene SD 4J","Bailey Hill Elem School",-
506,"7/1/1997",20,2082,577,18832,18832,81,3469,3469,31,779,779,112,4248,4248,19.41,22.56,22.56,"LANE","Eugene SD 4J","CAL YOUNG MIDDLE SCHOOL",-
506,"7/1/1998",20,2082,593,18636,18636,65,3264,3264,11,719,719,76,3983,3983,12.82,21.37,21.37,"LANE","Eugene SD 4J","CAL YOUNG MIDDLE SCHOOL",-
507,"7/1/1997",20,2082,160,18832,18832,44,3469,3469,21,779,779,65,4248,4248,40.63,22.56,22.56,"LANE","Eugene SD 4J","COBURG ELEM SCHOOL",-
507,"7/1/1998",20,2082,152,18636,18636,39,3264,3264,18,719,719,57,3983,3983,37.5,21.37,21.37,"LANE","Eugene SD 4J","COBURG ELEM SCHOOL",-
508,"7/1/1997",20,2082,277,18832,18832,11,3469,3469,,779,779,13,4248,4248,,22.56,22.56,"LANE","Eugene SD 4J","CREST DRIVE ELEM SCHOOL",-
508,"7/1/1998",20,2082,265,18636,18636,6,3264,3264,,719,719,8,3983,3983,,21.37,21.37,"LANE","Eugene SD 4J","CREST DRIVE ELEM SCHOOL",-
509,"7/1/1997",20,2082,107,18832,18832,,3469,3469,,779,779,5,4248,4248,,22.56,22.56,"LANE","Eugene SD 4J","EVERGREEN ALTERNATIVE",-
509,"7/1/1998",20,2082,108,18636,18636,,3264,3264,,719,719,3,3983,3983,,21.37,21.37,"LANE","Eugene SD 4J","EVERGREEN ALTERNATIVE",-
510,"7/1/1997",20,2082,295,18832,18832,48,3469,3469,9,779,779,57,4248,4248,19.32,22.56,22.56,"LANE","Eugene SD 4J","EDISON ELEM SCHOOL",-
510,"7/1/1998",20,2082,301,18636,18636,60,3264,3264,8,719,719,68,3983,3983,22.59,21.37,21.37,"LANE","Eugene SD 4J","EDISON ELEM SCHOOL",-
511,"7/1/1997",20,2082,225,18832,18832,49,3469,3469,9,779,779,58,4248,4248,25.78,22.56,22.56,"LANE","Eugene SD 4J","ELLIS PARKER ELEM SCHOOL",-
511,"7/1/1998",20,2082,190,18636,18636,37,3264,3264,,719,719,41,3983,3983,,21.37,21.37,"LANE","Eugene SD 4J","ELLIS PARKER ELEM SCHOOL",-
512,"7/1/1997",20,2082,107,18832,18832,46,3469,3469,,779,779,51,4248,4248,,22.56,22.56,"LANE","Eugene SD 4J","WILLARD ELEM SCHOOL",-
512,"7/1/1998",20,2082,91,18636,18636,33,3264,3264,7,719,719,40,3983,3983,43.96,21.37,21.37,"LANE","Eugene SD 4J","WILLARD ELEM SCHOOL",-
513,"7/1/1997",20,2082,499,18832,18832,73,3469,3469,25,779,779,98,4248,4248,19.64,22.56,22.56,"LANE","Eugene SD 4J","GILHAM ELEM SCHOOL",-
513,"7/1/1998",20,2082,461,18636,18636,68,3264,3264,,719,719,73,3983,3983,,21.37,21.37,"LANE","Eugene SD 4J","GILHAM ELEM SCHOOL",-
794,"7/1/2005",24,2145,241,799,58187,,303,23394,,56,4773,0,359,28167,,44.93,48.41,"Marion","Mt Angel SD 91","John F Kennedy High School",-
795,"7/1/2005",24,2138,147,3604,58187,44,1022,23394,16,249,4773,60,1271,28167,40.82,35.27,48.41,"Marion","Silver Falls SD 4J","Silver Crest Elementary School",-
796,"7/1/2005",24,2146,448,4830,58187,388,3656,23394,35,475,4773,423,4131,28167,94.42,85.53,48.41,"Marion","Woodburn SD 103","Nellie Muir Elementary School",-
797,"7/1/2005",24,2146,557,4830,58187,504,3656,23394,22,475,4773,526,4131,28167,94.43,85.53,48.41,"Marion","Woodburn SD 103","Washington Elementary School",-
800,"7/1/2005",24,2146,1316,4830,58187,851,3656,23394,130,475,4773,981,4131,28167,74.54,85.53,48.41,"Marion","Woodburn SD 103","Woodburn High School",-
805,"7/1/2005",24,2138,81,3604,58187,29,1022,23394,12,249,4773,41,1271,28167,50.62,35.27,48.41,"Marion","Silver Falls SD 4J","Monitor Elementary School",-
806,"7/1/2005",24,2139,134,2245,58187,20,775,23394,7,185,4773,27,960,28167,20.15,42.76,48.41,"Marion","Cascade SD 5","Cloverdale Elementary School",-
807,"7/1/2005",24,2138,149,3604,58187,33,1022,23394,,249,4773,33,1271,28167,,35.27,48.41,"Marion","Silver Falls SD 4J","Central Howell Elementary School",-
808,"7/1/2005",24,2137,312,1096,58187,169,699,23394,28,93,4773,197,792,28167,63.14,72.26,48.41,"Marion","Gervais SD 1","Gervais High School",-
809,"7/1/2005",24,2143,783,2452,58187,209,871,23394,73,261,4773,282,1132,28167,36.02,46.17,48.41,"Marion","North Santiam SD 29J","Stayton High School",-
810,"7/1/2005",24,2139,541,2245,58187,196,775,23394,40,185,4773,236,960,28167,43.62,42.76,48.41,"Marion","Cascade SD 5","Cascade Junior High School",-
811,"7/1/2005",24,2139,778,2245,58187,214,775,23394,57,185,4773,271,960,28167,34.83,42.76,48.41,"Marion","Cascade SD 5","Cascade Senior High School",-
812,"7/1/2005",24,2138,1183,3604,58187,248,1022,23394,77,249,4773,325,1271,28167,27.47,35.27,48.41,"Marion","Silver Falls SD 4J","Silverton High School",-
813,"7/1/2005",25,2147,331,2193,2367,226,1242,1298,49,250,263,275,1492,1561,83.08,68.03,65.95,"Morrow","Morrow SD 1","A C Houghton Elementary School",-
814,"7/1/2005",25,2147,417,2193,2367,294,1242,1298,42,250,263,336,1492,1561,80.58,68.03,65.95,"Morrow","Morrow SD 1","Sam Boardman Elementary School",-
815,"7/1/2005",25,2147,188,2193,2367,54,1242,1298,32,250,263,86,1492,1561,45.74,68.03,65.95,"Morrow","Morrow SD 1","Heppner Elementary School",-
817,"7/1/2005",25,2147,294,2193,2367,174,1242,1298,40,250,263,214,1492,1561,72.79,68.03,65.95,"Morrow","Morrow SD 1","Irrigon Junior/Senior High School",-
818,"7/1/2005",25,2147,224,2193,2367,47,1242,1298,22,250,263,69,1492,1561,30.8,68.03,65.95,"Morrow","Morrow SD 1","Heppner Junior/Senior High School",-
820,"7/1/2005",25,2147,455,2193,2367,235,1242,1298,33,250,263,268,1492,1561,58.9,68.03,65.95,"Morrow","Morrow SD 1","Riverside Junior/Senior High School",-
