DistInstID,SchlYr,CntyNm,DistNm,BldgNm,DistStudCnt,YrBlt,YrRemod,SqFt,DistSqFt,last column
2105,"7/1/1998","LINN","CENTRAL LINN SCH DIST 552","CENTRAL LINN HIGH SCHOOL",686,1959,1977,85811,203201,-
2105,"7/1/1997","LINN","CENTRAL LINN SCH DIST 552","CENTRAL LINN HIGH SCHOOL",786,1959,1977,85811,203201,-
2180,"7/1/1997","MULTNOMAH","Portland Sch Dist 1j","CHAPMAN ELEM SCHOOL",55321,1923,,62962,8529059,-
2142,"7/1/1998","MARION","SALEM/KEIZER SCH DIST 24J","CHAPMAN HILL ELEM",33725,1985,,59528,3946588,-
2142,"7/1/1997","MARION","SALEM/KEIZER SCH DIST 24J","CHAPMAN HILL ELEM",33086,1985,,59528,3946588,-
2187,"7/1/1998","MULTNOMAH","DAVID DOUGLAS SCH DIST 40","CHERRY PARK ELEM SCHOOL",7680,1954,1994,54150,1018580,-
2187,"7/1/1997","MULTNOMAH","DAVID DOUGLAS SCH DIST 40","CHERRY PARK ELEM SCHOOL",7546,1954,1994,54150,1018580,-
2180,"7/1/1997","MULTNOMAH","Portland Sch Dist 1j","CHIEF JOSEPH ELEM SCHOOL",55321,1949,1956,46204,8529059,-
2180,"7/1/1997","MULTNOMAH","Portland Sch Dist 1j","CLARENDON ELEM SCHOOL",55321,1970,,42958,8529059,-
2180,"7/1/1997","MULTNOMAH","Portland Sch Dist 1j","CLARK ELEM SCHOOL",55321,1955,,50595,8529059,-
2142,"7/1/1998","MARION","SALEM/KEIZER SCH DIST 24J","CLEAR LAKE ELEM SCHOOL",33725,1994,,49000,3946588,-
2142,"7/1/1997","MARION","SALEM/KEIZER SCH DIST 24J","CLEAR LAKE ELEM SCHOOL",33086,1994,,49000,3946588,-
2180,"7/1/1997","MULTNOMAH","Portland Sch Dist 1j","CLEVELAND HIGH SCHOOL",55321,1929,1990,252885,8529059,-
2100,"7/1/1998","LINN","GREATER ALBANY SCH DIST 8J","CLOVER RIDGE ELEM SCHOOL",7953,1915,1973,36750,1109125,-
2100,"7/1/1997","LINN","GREATER ALBANY SCH DIST 8J","CLOVER RIDGE ELEM SCHOOL",7871,1915,1973,36750,1109125,-
2082,"7/1/1998","LANE","EUGENE SCH DIST 4J","COBURG ELEM SCHOOL",18636,1950,1979,27537,2801409,-
2082,"7/1/1997","LANE","EUGENE SCH DIST 4J","COBURG ELEM SCHOOL",18832,1950,1979,27537,2801409,-
2082,"7/1/1998","LANE","EUGENE SCH DIST 4J","COLIN KELLY MIDDLE SCHOOL",18636,1945,1995,112356,2801409,-
2082,"7/1/1997","LANE","EUGENE SCH DIST 4J","COLIN KELLY MIDDLE SCHOOL",18832,1945,1995,112356,2801409,-
2082,"7/1/1998","LANE","EUGENE SCH DIST 4J","CORRIDOR ALTERNATIVE",18636,1961,1969,22220,2801409,-
2082,"7/1/1997","LANE","EUGENE SCH DIST 4J","CORRIDOR ALTERNATIVE",18832,1961,1969,22220,2801409,-
2082,"7/1/1998","LANE","EUGENE SCH DIST 4J","CREST DRIVE ELEM SCHOOL",18636,1963,,23562,2801409,-
2082,"7/1/1997","LANE","EUGENE SCH DIST 4J","CREST DRIVE ELEM SCHOOL",18832,1963,,23562,2801409,-
2180,"7/1/1997","MULTNOMAH","Portland Sch Dist 1j","CRESTON ELEM SCHOOL",55321,1946,1967,70765,8529059,-
2142,"7/1/1998","MARION","SALEM/KEIZER SCH DIST 24J","CROSSLER MIDDLE SCHOOL",33725,1995,,107800,3946588,-
2142,"7/1/1997","MARION","SALEM/KEIZER SCH DIST 24J","CROSSLER MIDDLE SCHOOL",33086,1995,,107800,3946588,-
2142,"7/1/1998","MARION","SALEM/KEIZER SCH DIST 24J","CUMMINGS ELEM SCHOOL",33725,1953,1994,36937,3946588,-
2142,"7/1/1997","MARION","SALEM/KEIZER SCH DIST 24J","CUMMINGS ELEM SCHOOL",33086,1953,1994,36937,3946588,-
2059,"7/1/1998","LAKE","LAKEVIEW SCH DIST 7","DALY MIDDLE SCHOOL",1039,1910,1930,47814,180184,-
2059,"7/1/1997","LAKE","LAKEVIEW SCH DIST 7","DALY MIDDLE SCHOOL",1114,1910,1930,47814,178408,-
2187,"7/1/1998","MULTNOMAH","DAVID DOUGLAS SCH DIST 40","DAVID DOUGLAS HIGH SCHOOL",7680,1959,,167151,1018580,-
2187,"7/1/1997","MULTNOMAH","DAVID DOUGLAS SCH DIST 40","DAVID DOUGLAS HIGH SCHOOL",7546,1959,,167151,1018580,-
2097,"7/1/1998","LINCOLN","LINCOLN CO SCH DIST","DELAKE ELEM SCHOOL",7041,1929,1957,23636,1160793,-
2097,"7/1/1997","LINCOLN","LINCOLN CO SCH DIST","DELAKE ELEM SCHOOL",7161,1929,1957,23636,887166,-
2180,"7/1/1997","MULTNOMAH","Portland Sch Dist 1j","DUNIWAY ELEM SCHOOL",55321,1926,1953,67492,8529059,-
2082,"7/1/1998","LANE","EUGENE SCH DIST 4J","EASTSIDE ALTERNATIVE",18636,1959,1960,27042,2801409,-
2082,"7/1/1997","LANE","EUGENE SCH DIST 4J","EASTSIDE ALTERNATIVE",18832,1959,1960,27042,2801409,-
2097,"7/1/1998","LINCOLN","LINCOLN CO SCH DIST","EDDYVILLE SCHOOL",7041,1924,1987,43016,1160793,-
2097,"7/1/1997","LINCOLN","LINCOLN CO SCH DIST","EDDYVILLE SCHOOL",7161,1924,1987,43016,887166,-
2097,"7/1/1997","LINCOLN","LINCOLN CO SCH DIST","TOLEDO HIGH SCHOOL",7161,1955,1997,77000,887166,-
2097,"7/1/1998","LINCOLN","LINCOLN CO SCH DIST","TOLEDO MIDDLE SCHOOL",7041,1987,1999,52671,1160793,-
2097,"7/1/1997","LINCOLN","LINCOLN CO SCH DIST","TOLEDO MIDDLE SCHOOL",7161,1987,,45183,887166,-
2180,"7/1/1997","MULTNOMAH","Portland Sch Dist 1j","TUBMAN MIDDLE SCHOOL",55321,1952,1986,94775,8529059,-
2082,"7/1/1998","LANE","EUGENE SCH DIST 4J","TWIN OAKS ELEM SCHOOL",18636,1958,1968,33910,2801409,-
2082,"7/1/1997","LANE","EUGENE SCH DIST 4J","TWIN OAKS ELEM SCHOOL",18832,1958,1968,33910,2801409,-
2059,"7/1/1998","LAKE","LAKEVIEW SCH DIST 7","UNION ELEMENTARY",1039,1920,1998,15776,180184,-
2059,"7/1/1997","LAKE","LAKEVIEW SCH DIST 7","UNION ELEMENTARY",1114,1920,1998,14000,178408,-
1923,"7/1/1998","CLACKAMAS","LAKE OSWEGO SCH DIST 7J","UPLANDS ELEMENTARY SCHOOL",7130,1961,1990,59136,1050752,-
1923,"7/1/1997","CLACKAMAS","LAKE OSWEGO SCH DIST 7J","UPLANDS ELEM SCHOOL",7186,1961,1990,59136,1050752,-
2187,"7/1/1998","MULTNOMAH","DAVID DOUGLAS SCH DIST 40","VENTURA PARK ELEM SCHOOL",7680,1952,1963,54961,1018580,-
2187,"7/1/1997","MULTNOMAH","DAVID DOUGLAS SCH DIST 40","VENTURA PARK ELEM SCHOOL",7546,1952,1963,54961,1018580,-
2180,"7/1/1997","MULTNOMAH","Portland Sch Dist 1j","VERNON ELEM SCHOOL",55321,1931,1953,72323,8529059,-
2180,"7/1/1997","MULTNOMAH","Portland Sch Dist 1j","VESTAL ELEM SCHOOL",55321,1929,,66388,8529059,-
2142,"7/1/1998","MARION","SALEM/KEIZER SCH DIST 24J","WALDO MIDDLE SCHOOL",33725,1957,1968,108048,3946588,-
2142,"7/1/1997","MARION","SALEM/KEIZER SCH DIST 24J","WALDO MIDDLE SCHOOL",33086,1957,1968,108048,3946588,-
