ParInstNm,InstID,InstNm,SchoolType,LoGrdOffrd,HiGrdOffrd,AypDesignation,SchlImprovDesig,OverallRatingCd,OverallRatingNote,DailyMmbrshpAvgAmt1,ESLStudPct,SchlAdmCnt,LcstfCnt,ExprYrAvgAmt,GradDgPct,NTchEmrProvCred,PClsByHiQTch,PClsByNotHiQTch,InstassCnt,SuppStfCnt,ClssSzLT21Cnt,ClssSzLT21Pct,StClssSzLT21Pct,ClssSz21Cnt,ClssSz21Pct,StClssSz21Pct,ClssSz26Cnt,ClssSz26Pct,StClssSz26Pct,ClssSz31Cnt,ClssSz31Pct,StClssSz31Pct,SatVrblScr,StSatVrblAvgScr,NtSatVrblAvgScr,SatMathScr,StSatMathAvgScr,NtSatMathAvgScr,SatWriteScr,StSatWriteAvgScr,NtSatWriteAvgScr,SatTkTestPct,StSatTkTestPct,SatTkTestCnt,StSatTkTestCnt,AttdPct2,DistAttdPct2,StAttdPct2,AttdPct1,DistAttdPct1,StAttdPct1,ExpulStudCnt,stExpulStudCnt,SchoolCharIndex,StateStdCondTestPct,AllCohort4YrGradRate2,StCohort4YrGradRate2,AllCohort5YrGradRate1,StCohort5yrGradRate1,AllCohort4YrGradRate1,StCohort4YrGradRate1,DrpoutStudCnt2,DrpOutPct2,DistDropoutPct2,StateDropoutPct2,DrpOutStudCnt1,DrpOutPct1,DistDropoutPct1,StateDropoutPct1,ReadStudExceedMeetAllGradePct2,ReadStudExceedMeetAllGradePct1,ReadCompSchoolAllGradePct,DistReadStudExceedMeetAllGradePct1,ReadGradesPerfStatePct1,MathStudExceedMeetAllGradePct2,MathStudExceedMeetAllGradePct1OldStandards,MathStudExceedMeetAllGradePct1,MathCompSchoolAllGradePct,DistMathStudExceedMeetAllGradePct1,MathGradesPerfStatePct1,WriteStudExceedMeetAllGradePct2,WriteStudExceedMeetAllGradePct1,WriteCompSchoolAllGradePct,DistWriteStudExceedMeetAllGradePct1,WriteGradesPerfStatePct1,ScienceStudExceedMeetAllGradePct2,ScienceStudExceedMeetAllGradePct1,ScienceCompSchoolAllGradePct,DistScienceStudExceedMeetAllGradePct1,ScienceGradesPerfStatePct1
Adel SD 21,498,Adel  Elementary School,E,4,8,MET,--,Not Rated,JQ1,5,0,0,1,13,0,50,50,50,0,1,1,100,15.2,0,0,43.4,0,0,35.2,0,0,6.2,--,520,497,--,521,514,--,499,489,--,56,--,18754,92.9,90,94.3,92.3,93.8,94.7,0,266,100,98.7,--,66.2,--,69.1,--,66.4,0,0,--,3.4,0,0,--,3.4,--,*,77.6,60,80.2,--,*,*,61.7,60,62.3,--,*,34.3,*,47.6,--,*,83.9,*,74.2
Adrian SD 61,707,Adrian  Elementary School,E,KG,8,MET,--,Satisfactory,,155,13.2,1,10.2,17.4,27.7,--,100,0,6.1,2.1,5,55.6,15.2,4,44.4,43.4,0,0,35.2,0,0,6.2,--,520,497,--,521,514,--,499,489,--,56,--,18754,95.1,94.7,94.3,94.7,95.3,94.7,0,266,99.3,98.7,--,66.2,--,69.1,--,66.4,0,0,--,3.4,0,0,--,3.4,82.5,81.1,78.5,81.1,81.1,84.5,89.6,73.6,58,73.6,62.5,35.3,45.2,40.6,45.2,47.6,84.8,89.7,70.7,89.7,74.2
Adrian SD 61,708,Adrian  High School,HSG,9,12,MET,--,Satisfactory,,82,15.1,0.5,6.8,16.9,58.6,--,98.1,1.9,1.9,2.3,0,--,15.2,0,--,43.4,0,--,35.2,0,--,6.2,479,520,497,484,521,514,426,499,489,33.3,56,7,18754,93.8,93.8,91.1,95.1,95.1,91.5,0,266,97,98.7,95.2,66.2,95.2,69.1,100,66.4,0,0,0,3.4,0,0,0,3.4,62.5,81.8,81.1,81.8,84.4,41.7,50,50,63.7,50,69.9,41.7,68.2,63.5,68.2,69.6,79.2,77.3,67,77.3,71.3
Alsea SD 7J,16,Alsea  Elementary School,E,KG,6,MET,--,Satisfactory,,83,0,0.3,5.5,13.9,45.7,--,100,0,2.2,0,7,100,15.2,0,0,43.4,0,0,35.2,0,0,6.2,--,520,497,--,521,514,--,499,489,--,56,--,18754,92.7,92.8,94.3,93.5,93.6,94.7,0,266,100,98.7,--,66.2,--,69.1,--,66.4,0,0,--,3.4,0,0,--,3.4,83.7,78.7,83.4,78.7,83.1,86,76.6,51.1,61.1,51.1,62,46.7,54.5,37.2,54.5,42.1,81.8,68.8,73,68.8,75.4
Alsea SD 7J,17,Alsea  High School,HSG,7,12,MET,--,Satisfactory,,58,0,0.3,4.7,13.3,100,--,80,20,0,0,0,--,15.2,0,--,43.4,0,--,35.2,0,--,6.2,440,520,497,417,521,514,450,499,489,70,56,7,18754,91.6,90.4,91.1,89.6,89.3,91.5,0,266,94.7,98.7,61.1,66.2,64.7,69.1,71.4,66.4,2,4.4,4.4,3.4,0,0,0,3.4,44.7,70.4,73.7,67.9,79.4,36.8,48.1,40.7,60,39.3,65.6,34.8,80,55,80,60.8,45.2,86.7,64.9,81.3,72.2
Amity SD 4J,1208,Amity  Elementary School,E,KG,5,MET,SI2,Satisfactory,,322,5.2,1,18.2,8.3,44,--,100,0,6,11,0,0,15.2,11,73.3,43.4,4,26.7,35.2,0,0,6.2,--,520,497,--,521,514,--,499,489,--,56,--,18754,94,93.7,94.3,93.8,93.8,94.7,0,266,99.2,98.7,--,66.2,--,69.1,--,66.4,0,0,--,3.4,0,0,--,3.4,81.4,82.8,84.2,81.9,84,71.8,83.3,57.5,62.2,56,62.9,47.2,27.6,37.2,27.6,42.1,55.8,54.4,79.1,52.5,75.4
Amity SD 4J,1210,Amity  High School,HSG,9,12,MET,--,Satisfactory,,251,0.4,1,13.5,15,56.8,8.3,96.1,3.9,3.5,8.9,0,--,15.2,0,--,43.4,0,--,35.2,0,--,6.2,504,520,497,504,521,514,493,499,489,44.7,56,21,18754,91.4,90.7,91.1,92.4,92,91.5,0,266,98.2,98.7,81.4,66.2,83.8,69.1,87.1,66.4,2,0.8,0.8,3.4,3,1.1,1.4,3.4,50,73.4,86.4,71.1,84.4,31.6,54.4,53.2,70.6,50.6,69.9,16.7,59.5,68.6,57.3,69.6,44.7,58.2,72.9,57.8,71.3
Amity SD 4J,1209,Amity  Middle School,M,6,8,NOT MET,--,Satisfactory,,187,1.2,0.7,9.5,16.7,63.2,--,100,0,2.4,4.4,0,--,15.2,0,--,43.4,0,--,35.2,0,--,6.2,--,520,497,--,521,514,--,499,489,--,56,--,18754,93.1,92,94.3,93.1,93.1,94.7,0,266,100,98.7,--,66.2,--,69.1,--,66.4,0,0,--,3.4,0,0,--,3.4,74.9,76.7,78.3,73.5,78.2,74.9,75.6,51.7,61.7,50,62.2,87,69.2,55.4,64.8,53,82.7,77,71.6,73.1,73.1
Amity SD 4J,4505,Ballston  Community School,HSA,KG,12,NOT MET,--,Not Rated,J1,39,0,1,3.5,3.1,57.1,25,57.1,42.9,0,4.5,1,100,15.2,0,0,43.4,0,0,35.2,0,0,6.2,--,520,497,--,521,514,--,499,489,--,56,--,18754,83.4,90.7,91.1,91,92,91.5,0,266,94.7,98.7,--,66.2,--,69.1,0,66.4,0,0,0.8,3.4,1,11.1,1.4,3.4,57.1,43.5,84.7,76.4,81.5,21.4,30.4,21.7,67.9,52.5,63.5,*,< 5.0,57.8,51.7,54.4,*,33.3,74.2,61.2,73.3
Annex SD 29,705,Annex  Charter School,E,KG,8,NOT MET,--,In Need of Improvement,,49,17.4,0.9,3.5,17.3,28.6,--,100,0,0.8,3.3,3,100,15.2,0,0,43.4,0,0,35.2,0,0,6.2,--,520,497,--,521,514,--,499,489,--,56,--,18754,91.4,94.5,94.3,92.5,93.5,94.7,0,266,97,98.7,--,66.2,--,69.1,--,66.4,0,0,--,3.4,0,0,--,3.4,62.5,69.7,70.3,69.7,81.1,68.8,54.5,18.2,51.2,18.2,62.5,25,42.9,34.3,42.9,47.6,22.2,52.6,57.5,52.6,74.2
