District ID,District Name,Superintendent,School ID,School Name,Principal,Grades Offered,School Type,County,Total Enrollment,Pct Mobile Students 2015-16,Enrollment K-3,Enrollment 4-5,Enrollment 6-8,Pct of Students Attending Regularly,School Self-Contained Class Size,Oregon Self-Contained Class Size,School Departmentalized Class Size,Oregon Departmentalized Class Size,School ELA Class Size,Oregon ELA Class Size,School Math Class Size,Oregon Math Class Size,School Science Class Size,Oregon Science Class Size,School Social Studies Class Size,Oregon Social Studies Class Size,Pct Ever English Learners,Pct Economically Disadvantaged,Pct Students with Disabilities,Pct Asian,Pct Black,Pct Hispanic,Pct Native American,Pct Multi-racial,Pct Pacific Islander,Pct White,Number of Languages Spoken,School Rating,Percent with All Required Vaccinations,Percent without All Required Vaccinations,ESEA Designation,Rating Compared to Similar Schools,ELA Pct Met 2014-15,ELA Pct Met 2015-16,State ELA Pct Met,Like Schools ELA Pct Met,Math Pct Met 2014-15,Math Pct Met 2015-16,State Math Pct Met,Like Schools Math Pct Met,Science Pct Met 2012-13,Science Pct Met 2013-14,Science Pct Met 2014-15,Science Pct Met 2015-16,State Science Pct Met,Like Schools Science Pct Met,Freshmen On Track 2015-16,State Freshman On Track,Like Schools Freshman On Track,Freshmen On Track 2013-14,Freshmen On Track 2014-15,Four Year Graduation Rate 2011-12,Four Year Graduation Rate 2012-13,Four Year Graduation Rate 2013-14,Four Year Graduation Rate 2014-15,State Four Year Graduation Rate,Like Schools Four Year Graduation Rate,Five Year Completion Rate 2011-12,Five Year Completion Rate 2012-13,Five Year Completion Rate 2013-14,Five Year Completion Rate 2014-15,State Five Year Completion Rate,Like Schools Five Year Completion Rate,Dropout Rate 2011-12,Dropout Rate 2012-13,Dropout Rate 2013-14,Dropout Rate 2014-15,State Dropout Rate,Like Schools Dropout Rate,Continuing Education Rate 2010-11,Continuing Education Rate 2011-12,Continuing Education Rate 2012-13,Continuing Education Rate 2013-14,State Continuing Education Rate,Like Schools Continuing Education Rate
2063,Adel SD 21,Mary Woodworth,498,Adel Elementary School,Bob Nash,Grade(s) 4-8,E,Lake,9,0.00%,--,6,3,88.90%,9,25,--,--,,,,,,,,,*,*,*,0,0,0,11%,0,0,89%,1,Not Rated,*,*,,Not Rated,42.9,66.7,55.8,--,28.6,33.3,42.9,--,*,*,*,*,65.2,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2113,Adrian SD 61,Gene Mills,707,Adrian Elementary School,William Ellsworth,Grade(s) K-8,E,Malheur,206,12.40%,86,48,72,92.30%,22,25,23,25,,,,,,,,,17%,66%,17%,0,0,27%,1%,2%,0,70%,2,Not Rated,100,0,,Not Rated,63.5,73.7,54.5,53.8,63.5,60.5,43.9,45.5,>95,93.5,>95,85,65.2,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2113,Adrian SD 61,Gene Mills,708,Adrian High School,Kevin Purnell,Grade(s) 9-12,H,Malheur,77,12.00%,,,,81.30%,--,--,,,18,24,12.5,24,15.5,26,19,27,25%,49%,16%,3%,0,23%,0,5%,0,69%,3,Not Rated,100,0,,Not Rated,81.8,90.9,70,76.8,25,36.4,34.2,33.7,57.1,77.8,83.3,>95,60,66.1,>95,83.5,84.4,>95,>95,95.5,78.3,84.6,100,73.8,81,100,100,95.7,91.7,81.6,86.9,0,3,0,0,4.3,3.1,61.1,52.4,50,36.4,59.4,56.7
1899,Alsea SD 7J,Marc Thielman,16,Alsea Elementary School,Marc Thielman,Grade(s) K-6,E,Benton,65,12.70%,42,18,5,87.10%,12,25,--,--,,,,,,,,,*,60%,25%,0,0,5%,0,2%,0,94%,1,Not Rated,94,6,,Not Rated,25,16.7,52.8,55.8,26.3,22.2,43.7,48.1,75,42.9,*,*,66.5,75.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Alsea SD 7J,Marc Thielman,17,Alsea High School,Marc Thielman,Grade(s) 7-12,H,Benton,80,16.90%,,,,65.40%,12.5,25,,,12,24,10,24,11,26,10,27,*,53%,15%,1%,0,9%,1%,3%,0,86%,1,Not Rated,94,6,,Not Rated,50,47.1,61.7,58.2,33.3,11.8,41.2,31.9,37.5,82.4,61.1,41.7,62.1,60.9,92.3,83.5,87.6,>95,<5,81.3,77.8,82.4,53.3,73.8,81.5,84.6,93.8,88.9,77.8,81.6,92.1,11.6,0,2.3,4,4.3,2.3,36.4,53.8,62.5,14.3,59.4,47.1
2252,Amity SD 4J,Jeff Clark,1208,Amity Elementary School,Danielle Ludwick,Grade(s) K-5,E,Yamhill,338,13.60%,226,112,--,88.80%,20.5,25,--,--,,,,,,,,,9%,52%,12%,1%,1%,16%,1%,4%,0,78%,4,Not Rated,97,3,,Not Rated,37.6,46.3,52.4,55.9,28.2,37.2,44.9,48,43.8,56.9,60.4,59.6,66.5,70.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2252,Amity SD 4J,Jeff Clark,1210,Amity High School,Chris Daniels,Grade(s) 9-12,H,Yamhill,282,14.00%,,,,74.60%,--,--,,,21,24,18,24,17.5,26,22,27,6%,30%,14%,0,1%,11%,1%,6%,0,81%,5,Not Rated,96,4,,Not Rated,62.2,68.9,70,78.5,26.3,15.4,34.2,35.6,63.8,57.1,82.4,62.5,60,64.2,84.6,83.5,86.5,78.1,80.6,76.3,78.5,89.3,76.1,73.8,84.5,90.9,88.2,89.1,92.9,81.6,87.6,0,4.2,2.1,6.2,4.3,2.1,61.7,53,58.2,66,59.4,54.7
2252,Amity SD 4J,Jeff Clark,1209,Amity Middle School,David Lund,Grade(s) 6-8,M,Yamhill,184,9.70%,,,,75.00%,20,25,,,20,24,17.5,24,21.5,26,21,27,10%,47%,15%,1%,0,16%,2%,4%,1%,77%,3,Not Rated,97,3,,Not Rated,46.2,49.7,56.7,54.9,28,35.8,42.8,38.3,63.6,76.5,58.6,63.2,63.8,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2252,Amity SD 4J,Jeff Clark,4505,Eola Hills Charter School,Nicole Wollenweber,Grade(s) K-12,H,Yamhill,47,45.50%,,,,52.60%,6,25,,,12,24,11,24,12,26,14,27,*,*,30%,0,2%,21%,6%,11%,0,60%,2,Not Rated,95,5,,Not Rated,12.5,15,56.5,50.7,12.5,<5,42.7,26.7,45.5,60,22.2,37.5,63.7,49.7,83.3,83.5,73.2,*,*,85.7,50,50,62.5,73.8,60.2,33.3,100,57.1,66.7,81.6,71.1,7.7,5,11.1,10,4.3,8.8,0,33.3,0,0,59.4,34.7
2111,Annex SD 29,Steve Bishop,705,Annex Charter School,Steve Bishop,Grade(s) K-8,E,Malheur,73,11.30%,36,18,19,86.10%,18.5,25,--,--,,,,,,,,,26%,***,11%,3%,1%,34%,0,5%,0,56%,2,Not Rated,89,11,,Not Rated,36.1,26.1,54.5,49.4,33.3,26.7,43.9,40.5,42.9,38.5,50,68.8,65.2,61.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Arlington SD 3,Kevin Hunking,323,Arlington Community Charter School,Kevin Hunking,Grade(s) K-12,H,Gilliam,157,22.70%,,,,67.80%,12,25,,,12,24,10,24,11,26,11,27,*,57%,14%,0,0,11%,2%,4%,0,82%,2,Not Rated,98,2,,Not Rated,57.7,65.3,56.5,51,42,44,42.7,27.9,34.4,85.7,94.1,48.7,63.7,58.2,91.7,83.5,77,>95,80,62.5,71.4,91.7,64.3,73.8,76.4,88.9,85.7,100,84.6,81.6,88.8,0,7.3,0,2.4,4.3,3,46.7,50,42.9,45.5,59.4,44.9
2115,Arock SD 81,Vicki McConnell,711,W W Jones Elementary School,Vicki McConnell,Grade(s) K-8,E,Malheur,12,0.00%,8,--,4,>95%,6,25,--,--,,,,,,,,,*,*,*,0,0,17%,0,0,0,83%,2,Not Rated,100,0,,Not Rated,*,*,54.5,--,*,*,43.9,--,*,*,*,*,65.2,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
